models                                                        LL-train    LL-valid     LL-test      PPL-train  PPL-valid     PPL-test      WER        LL-wsj       PPL-wsj       
trf_c200_g4_w_c_ws_cs_wsh_csh_tied.run0.ais10_20000.ad        0           0            0            0          0             0             7.977      98.880       311.604       
trf_c200_g4_w_c_ws_cs_wsh_csh_tied.run1.ais10_20000.ad        0           0            0            0          0             0             8.724      105.049      445.852       
trf_c200_g4_w_c_ws_cs_wsh_csh_tied.run2.ais10_20000.ad        0           0            0            0          0             0             7.902      98.675       307.917       
trf_c200_g4_w_c_ws_cs_wsh_csh_tied.run3.ais10_20000.ad        0           0            0            0          0             0             7.883      98.700       308.363       
trf_c200_g4_w_c_ws_cs_wsh_csh_tied.run4.ais10_20000.ad        0           0            0            0          0             0             7.977      98.242       300.272       
trf_c200_g4_w_c_ws_cs_wsh_csh_tied.run5.ais10_20000.ad        0           0            0            0          0             0             7.977      98.752       309.295       
trf_c200_g4_w_c_ws_cs_wsh_csh_tied.run6.ais10_20000.ad        0           0            0            0          0             0             7.939      98.410       303.218       
trf_c200_g4_w_c_ws_cs_wsh_csh_tied.run7.ais10_20000.ad        0           0            0            0          0             0             7.939      98.582       306.274       
trf_c200_g4_w_c_ws_cs_wsh_csh_tied.run8.ais10_20000.ad        0           0            0            0          0             0             7.996      98.338       301.961       
trf_c200_g4_w_c_ws_cs_wsh_csh_tied.run9.ais10_20000.ad        0           0            0            0          0             0             7.958      98.704       308.447       
trf_c200_g4_w_c_ws_cs_wsh_csh_tied.runavg.ais10_20000.ad      0           0            0            0          0             0             8.03+0.23  99.23+1.95   320.32+41.98  
trf_c200_g4_w_c_ws_cs_wsh_csh_tied.runavg.ais10_20000.smooth  0           0            0            0          0             0             7.89+0.09  102.22+0.99  378.90+22.49  
trf_c200_g4_w_c_ws_cs_wsh_csh_tied.runavg                     38.00+2.05  107.95+0.99  107.77+1.01  5.61+0.56  138.80+6.20   136.78+6.24   7.90+0.07  95.26+0.50   252.65+7.29   
trf_c200_g4_w_c_ws_cs_wsh_csh_tied.run0.ais10_20000.smooth    0           0            0            0          0             0             8.014      103.304      402.884       
trf_c200_g4_w_c_ws_cs_wsh_csh_tied.run1.ais10_20000.smooth    0           0            0            0          0             0             7.753      104.513      432.174       
trf_c200_g4_w_c_ws_cs_wsh_csh_tied.run2.ais10_20000.smooth    0           0            0            0          0             0             7.809      102.724      389.551       
trf_c200_g4_w_c_ws_cs_wsh_csh_tied.run3.ais10_20000.smooth    0           0            0            0          0             0             7.846      101.984      373.160       
trf_c200_g4_w_c_ws_cs_wsh_csh_tied.run4.ais10_20000.smooth    0           0            0            0          0             0             7.977      101.560      364.075       
trf_c200_g4_w_c_ws_cs_wsh_csh_tied.run5.ais10_20000.smooth    0           0            0            0          0             0             7.827      102.033      374.214       
trf_c200_g4_w_c_ws_cs_wsh_csh_tied.run6.ais10_20000.smooth    0           0            0            0          0             0             7.996      101.386      360.415       
trf_c200_g4_w_c_ws_cs_wsh_csh_tied.run7.ais10_20000.smooth    0           0            0            0          0             0             7.958      101.021      352.853       
trf_c200_g4_w_c_ws_cs_wsh_csh_tied.run8.ais10_20000.smooth    0           0            0            0          0             0             7.921      101.552      363.909       
trf_c200_g4_w_c_ws_cs_wsh_csh_tied.run9.ais10_20000.smooth    0           0            0            0          0             0             7.790      102.104      375.755       
